Country,Indicator,latest_value
Belize,"Proportion of population above statutory pensionable age receiving a pension, female",42.0
Belize,"Poor Persons Covered by Social Protection Systems, percent",7.4
Belize,Fragile States Index,62.8
Belize,"Proportion of population above statutory pensionable age receiving a pension, total",49.9
Belize,Voice and Accountability Index,0.55
Belize,"Greenhouse Gas (GHG) emissions, MtCO2e",6.96
Belize,External Peace Score,3.9
Belize,Air pollution Deaths Attributed to Fossil Fuels,25.0
Belize,Prisoners: Population size estimate,1400.0
Belize,Consumption of controlled substance (zero-filled) - Chemical: Hydrochlorofluorocarbons (HCFCs),0.61
Belize,Strength of legal rights index (0=weak to 12=strong),4.0
Belize,Multidimensional Poverty Incidence,4.9
Belize,"Population, total",416656.0
Belize,"Climate Change-related change in death rates per 100,000 population (RCP4.5 SSP3)",3.08
Belize,"Rule of Law Index, percentile rank",23.56
Belize,"Population Using at least Basic Drinking-Water Services, urban, percent",98.88
Belize,Gender Inequality Index,0.45
Belize,Refugees and IDPs Score,3.3
Belize,Government Effectiveness Index,-0.49
Belize,"Carbon dioxide emissions production per capita, tonnes",1.76
Belize,Government net lending/borrowing as percent of GDP,-1.66
Belize,"Urban Population, total",188030.0
Belize,Group Divisions in Society Score,4.7
Belize,"Unemployment rate, pre-COVID-19 baseline",13.46
Belize,"Change in absolute number of people exposed to Floods - SSP3, RCP 8.5 (2050)",6527.69
Belize,Climate Change Readiness Score,0.33
Belize,"Gross National Income Per Capita, female (2017 PPP$)",6318.81
Belize,"Estimates of Informal Output, percentage of official gross domestic product (GDP)",39.98
Belize,"Gross National Income Per Capita, male (2017 PPP$)",12133.48
Belize,"Internet users, total (% of population)",50.8
Belize,"Employment in industry, % of total employment",18.95
Belize,"Labour Force Participation Rate, female",48.56
Belize,"Ores and metals exports, percent of merchandise exports",0.71
Belize,"Population ages 65 and above, % of total population",5.09
Belize,"Human Development Index, female",0.69
Belize,Share of Parliament Seats Held by Men,80.43
Belize,"Vulnerable Persons Covered by Social Assistance, percent",4.6
Belize,"Rural Population, total",217242.0
Belize,"Mothers with newborns receiving maternity benefits, Females",19.9
Belize,Influence and Impact of External Actors in State Functioning,6.4
Belize,Factionalized Elites Score,4.3
Belize,"Renewable energy consumption, percent of total final energy consumption",29.09
Belize,"Population covered by at least one social protection benefit, total",37.9
Belize,Terrestrial protected areas (% of total land area),37.55
Belize,"International Migrant Stock at Mid-Year, total",62043.0
Belize,"Inflation, percent change pre-COVID-19 baseline",2.0
Belize,Planetary pressures adjusted Human Development Index,0.67
Belize,"Access to electricity, rural (% of rural population)",96.07
Belize,Gender Development Index,0.98
Belize,Youth Unemployment (% of total labor force ages 15-24),21.8
Belize,"Change in absolute number of people exposed to drought - SSP3, RCP 8.5 (2050)",68476.06
Belize,Forest area (% of land area),55.5
Belize,"Change in absolute number of people exposed to coastal floods - SSP3, RCP 8.5 (2050)",2109.72
Belize,"Government Effectiveness Index, percentile rank",33.65
Belize,"Employment in services, % of total employment",59.88
Belize,"Change in absolute number of people exposed to malaria and dengue -SSP3, RCP 8.5 (2050)",195474.17
Belize,Security Apparatus Score,7.1
Belize,Human Flight and Brain Drain Score,5.2
Belize,"Access to internet, percent of population",61.99
Belize,Economic Inequality Score,62.1
Belize,Percent of firms formally registered when they started operations in the country,79.2
Belize,"Employed Covered in the Event of Work Injury, percent",71.4
Belize,"SMEs, % of all enterprises",25.61
Belize,Rule of Law Index,-0.78
Belize,"Government Net Lending/Borrowing, percent of Gross Domestic Product, pre-COVID-19 baseline",-0.89
Belize,Percent of firms choosing practices of the informal sector as their biggest obstacle,0.3
Belize,"Proportion of population above statutory pensionable age receiving a pension, male",55.5
Belize,"Micro enterprises, % of all enterprises",67.39
Belize,LGBTQ+ Equality Index,66.0
Belize,Ambient particulate matter pollution exposure,21.18
Belize,Persons with Severe Disabilities Collecting Disability Social Protection Benefits,9.7
Belize,"Percent change in Gross Domestic Product, pre-COVID-19 baseline",1.69
Belize,Gross National Income Per Capita (2017 PPP$),9242.08
Belize,Multidimensional Poverty Intensity,40.2
Belize,Medical Waste (tons per year),188.0
Belize,"Labour Force Participation Rate, male",75.61
Belize,"Population Using at least Basic Sanitation Services, urban, percent",88.25
Belize,"Forest Area within Legally Established Protected Areas, percentage of total forest area",56.81
Belize,Access to clean fuels and technologies for cooking (% of population),82.1
Belize,Proportion of Labour Force with Advanced Education,85.43
Belize,Climate Change Readiness Ranking,135.0
Belize,Climate Risk Index Ranking,33.0
Belize,Refugee population by country or territory of asylum,145.0
Belize,"Medium enterprises, % of all enterprises",5.98
Belize,"Gross Domestic Product per capita, purchasing power parity (current international USD)",11189.86
Belize,"Climate Change-related change in death rates per 100,000 population (RCP8.5 SSP3)",15.4
Belize,"Renewable Internal Freshwater Resources per Capita, cubic meters",38640.64
Belize,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",0.3
Belize,"Gross Domestic Product (GDP) per capita, percent change",0.01
Belize,Number of years firm operated without formal registration,2.0
Belize,"Employment in agriculture, % of total employment",21.17
Belize,"Inflation, percent change",2.0
Belize,Share of Parliament Seats Held by Women,19.57
Belize,"Small enterprises, % of all enterprises",19.63
Belize,"Gross Domestic Product (GDP), percent change",2.01
Belize,"Population Using at least Basic Drinking-Water Services, rural, percent",98.0
Belize,Percent of firms competing against unregistered or informal firms,58.5
Belize,Coverage of protected areas in relation to marine areas,31.22
Belize,Climate Risks Index Score,48.67
Belize,Household air pollution from solid fuels,0.13
Belize,Consumption of controlled substance (zero-filled) - Chemical: Total,0.61
Belize,Human development index (HDI),0.7
Belize,"Population living in slums, % of urban population",15.73
Belize,Government Response Stringency Index,23.75
Belize,Climate Vulnerability Ranking,123.0
Belize,"Population Using at least Basic Drinking-Water Services, total, percent",98.41
Belize,"Human Development Index, male",0.7
Belize,"Freshwater withdrawal, proportion of available freshwater resources",1.26
Belize,"Children/Households Receiving Child/Family Cash Benefits, percent",3.0
Belize,"Total Government Fiscal Response during the COVID-19 Pandemic, USD",78950000.0
Belize,"Planetary pressures adjusted Human Development Index, differnece from non-adjusted HDI value",4.57
Belize,"Natural Capital, USD per capita",12102.0
Belize,Unemployment rate,7.57
Belize,"Material footprint per capita, tonnes",9.78
Belize,Multidimensional Poverty Index,0.02
Belize,"Access to electricity, urban (% of urban population)",98.33
Belize,Access to electricity (% of population),97.11
Benin,Fragile States Index,37.68
Benin,"Share of Informal employment by sex and age (%), Male, 15 and above",95.3
Benin,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $1.90 poverty line",0.06
Benin,"Employment outside the Formal Sector by sex and age (thousands), Total, 15-24",622.05
Benin,Investment Freedom,50.0
Benin,"Human Development Index, male",0.54
Benin,"Employment in agriculture, % of total employment",28.15
Benin,"Share of Informal employment by economic activity (%), Agriculture",99.8
Benin,"Employment in services, % of total employment",49.34
Benin,Basic Waste Management Services in Non-hospital Healthcare Services,45.45
Benin,"Informal employment by sex (thousands), Total",3628.93
Benin,"Rural Population, total",6738656.0
Benin,"Share of Informal employment by sex and age (%), Female, 15 and above",98.6
Benin,"Population, total",14080072.0
Benin,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Employees",75.4
Benin,"Employment outside the Formal Sector by sex and status in employment (thousands), Female, Self-employed",1510.52
Benin,"Informal employment by sex and economic activity (thousands), Female, Non-agriculture",1480.9
Benin,Share of female sole proprietors,34.36
Benin,"Informal employment by sex and age (thousands), Male, 15-24",287.55
Benin,"Share of Employment outside the Formal Sector by sex and age (%), Female, 15 and above",97.8
Benin,"Proportion of population above statutory pensionable age receiving a pension, total",11.0
Benin,"Climate Change-related change in death rates per 100,000 population (RCP8.5 SSP3)",232.83
Benin,"Informal employment by sex and status in employment (thousands), Female, Self-employed",1510.52
Benin,Human Flight and Brain Drain Score,6.2
Benin,Voice and Accountability Index,-0.24
Benin,"Share of Informal employment by sex and age (%), Female, 15-24",99.8
Benin,"Share of Employment outside the Formal Sector by sex and economic activity (%), Female, Agriculture",99.9
Benin,"Inequality-adjusted Human Development Index, difference from non-adjusted HDI value",38.69
Benin,Financial Freedom,50.0
Benin,Access to clean fuels and technologies for cooking (% of population),4.0
Benin,CSO participatory environment,0.96
Benin,"Employment outside the Formal Sector by sex and status in employment (thousands), Total, Employees",627.46
Benin,"Share of Informal employment by sex and age (%), Male, 25 and above",94.6
Benin,Business Freedom,48.9
Benin,Property Rights,44.6
Benin,Judicial Effectiveness,48.5
Benin,"Access to internet, percent of population",33.97
Benin,Fiscal Health,48.9
Benin,Labor Freedom,59.1
Benin,Government Integrity,41.3
Benin,Government Spending,88.5
Benin,Tax Burden,69.6
Benin,Monetary Freedom,81.9
Benin,Public Sector Management and Institutions Index,3.6
Benin,"Informal employment by sex and economic activity (thousands), Total, Non-agriculture",2484.42
Benin,Climate Vulnerability Ranking,168.0
Benin,"Informal employment by sex and age (thousands), Male, 25 and above",1568.72
Benin,"Share of Employment outside the Formal Sector by sex and status in employment (%), Female, Self-employed",99.8
Benin,Trade Freedom,61.0
Benin,"Urban Population, total",6614208.0
Benin,"Employment outside the Formal Sector by sex (thousands), Total",3576.96
Benin,"Share of Informal employment by sex and economic activity (%), Male, Non-agriculture",91.7
Benin,Number of years firm operated without formal registration,0.4
Benin,Prisoners: Population size estimate,6800.0
Benin,Climate Change Readiness Ranking,133.0
Benin,"Informal employment by sex and age (thousands), Male, 15-64",1770.11
Benin,"Informal employment by sex and economic activity (thousands), Total, Agriculture",1144.51
Benin,Refugee population by country or territory of asylum,1779.0
Benin,"Employment outside the Formal Sector by sex and age (thousands), Female, 15-24",337.0
Benin,"Mothers with newborns receiving maternity benefits, Females",41.0
Benin,"Percent change in Gross Domestic Product, pre-COVID-19 baseline",6.75
Benin,"Share of Employment outside the Formal Sector by sex (%), Female",97.8
Benin,Multidimensional Poverty Incidence,66.0
Benin,"Employment outside the Formal Sector by sex and economic activity (thousands), Male, Agriculture",852.54
